Sample,0,1,2,3,4,5
Ti_Pt,-3.002678696,-9.268554458,-0.224458673,-1.253424749,0.573125147,1.395453732
V_Fe,-0.25242866,2.254127134,0.026605414,-1.971823779,2.232995424,1.79885376
V_Y,-3.06071418,-5.94134509,2.234663124,-3.858443828,2.637690301,1.159399562
V_Zr,-1.991087447,-6.862285015,0.319112434,-5.92006309,1.460707549,0.109361092
V_Nb,0.108691929,0.27120817,2.828901931,-2.323199115,2.274502606,2.032898044
V_Ru,1.523917047,1.189154206,4.285598428,0.285557653,1.877665093,2.393446689
V_Rh,2.595111342,1.692820743,3.292954798,2.639869974,5.037379217,1.475846834
V_Ag,1.5330085,-9.165266229,0.700831463,1.209600954,6.253012932,2.377634415
V_Hf,-3.742359549,-12.89709782,-1.806051883,-8.465373909,2.023339595,-0.721916637
V_W,-0.42633266,0.607034339,2.639463384,-1.628552898,1.41014159,2.181722697
V_Re,-0.115375815,-1.64074198,1.39888479,-2.418651918,3.590665604,1.917813762
V_Ir,3.69493187,-23.25446759,8.707175976,20.35801245,24.936117,5.541938921
V_Pt,-6.013789299,-6.958801584,0.77336678,-2.11767667,-2.291480013,1.84938398
V_Au,0.080330646,-17.13243972,1.261817369,3.704843583,13.81658662,1.377868169
Cr_Mn,2.331321585,-0.884889604,-0.748526077,2.121873742,6.8328798,1.133996092
Cr_Fe,0.17675601,3.583825189,0.495523231,-0.752086828,2.278484217,1.942293376
Cr_Cu,12.73887584,-54.50698438,12.54128101,56.12482657,64.6898386,7.666909057
Cr_Y,-3.142509954,-4.261940094,3.049737787,-2.340237607,2.58538757,1.370024837
Cr_Zr,-2.67886639,-7.305834543,-0.165328058,-5.734188277,0.360525637,-0.185539876
Cr_Nb,-0.837986502,-0.510877827,2.102726143,-2.812512246,0.815992341,1.615290743
Cr_Mo,-0.843625814,0.318608321,2.577192423,-1.28982459,0.514847534,1.650568541
Cr_Ru,0.110949365,-0.615095507,3.32920634,-0.250007038,0.918633536,1.735664177
Cr_Rh,0.966309386,-9.654938616,2.604082705,1.962604389,3.933474801,1.13752674
Cr_Pd,1.559998334,2.109280921,2.463527069,1.098426212,3.728133793,1.653325186
Cr_Ag,-3.659364781,-13.80650544,-5.001234755,-5.77313333,-0.173497653,-0.435188074
Cr_Hf,-4.886567392,-14.11452357,-2.297273474,-8.636354457,0.73028042,-1.396957683
Cr_Ta,-1.870351613,-6.688679601,-0.003972498,-5.466900013,1.110163687,0.390471001
Cr_Re,-1.628747284,-3.868900404,-0.026002957,-3.180238109,1.50034343,0.729322834
Cr_Os,-3.536402629,-5.79393864,0.488068002,-2.042548588,-0.824527471,0.371991192
Cr_Ir,-5.897251708,-7.999203984,-2.015226948,-3.414336122,-2.57550587,0.059721852
Cr_Pt,-3.485317612,-7.435735996,2.019066982,0.930497194,1.591534192,2.706079814
Cr_Au,-4.263589381,-14.24287275,-4.026920423,-6.129505897,2.992113788,-0.814655387
Mn_Fe,3.6518851,23.74509479,-1.687581993,14.08008386,22.85299362,1.123789951
Mn_Co,-8.612985825,-6.223534789,-9.549639342,-7.508154915,-5.441651815,-2.929627047
Mn_Cu,-4.534552944,-12.84125983,-3.674787762,-3.341844427,-0.478268702,1.778040681
Mn_Y,0.038473524,-7.513979238,9.918449938,5.17008077,9.696672396,3.270535104
Mn_Zr,-2.957554512,-6.545645224,1.409991654,-4.572472856,0.484616139,-0.773639377
Mn_Nb,-1.626025126,-2.747537935,-0.439284096,-4.103040725,-0.233154872,0.320755813
Mn_Mo,1.379184561,-5.852119946,2.779977346,3.456869155,6.320397737,2.013842952
Mn_Ru,-2.413242851,-3.348126764,-2.521667344,-3.621896479,-0.475037265,-0.624443411
Mn_Rh,-7.606311086,-13.73256349,-7.765363098,-8.377139973,-5.699645511,-2.843276144
Mn_Pd,-7.578288371,-10.64133216,-8.62440793,-8.39135522,-5.151956022,-2.331271139
Mn_Ag,-9.031384544,-18.62270665,-9.875012959,-9.567775099,-5.507264314,-0.076688092
