Sample,0,1,2,3,4,5
Cr_Mn,-1.50923407,0.455810307,0.761506788,-0.654937948,1.879063407,0.18509225
Cr_Fe,0.739286688,0.326593976,0.888916639,0.428631987,0.363340306,1.343380889
Cr_Cu,9.05247524,2.74844608,2.640273628,9.844290142,3.880393134,3.900771802
Cr_Y,134.2817299,11.43554909,11.55326702,144.6471277,16.06900755,16.26592799
Cr_Zr,6.829421984,2.662781401,2.83839875,9.775151227,3.324210886,3.61726956
Cr_Nb,1.474066392,1.240058844,1.572757575,3.212883448,0.956631327,1.429462791
Cr_Mo,1.590134691,1.13502849,1.247162847,2.718971153,0.890680364,1.09429934
Cr_Ru,-0.012976423,1.005662259,0.670015276,0.624875133,0.537077667,0.906700127
Cr_Rh,2.01671786,1.482185552,1.242871468,1.980764036,1.562492225,1.689646541
Cr_Pd,4.713103615,2.012875367,2.051314778,4.615289741,2.513600328,2.701433561
Cr_Ag,14.93126545,3.388582574,3.330772148,14.35104415,4.743044036,4.908771343
Cr_Hf,9.234462732,3.117045292,3.274932215,11.8468599,3.918979168,4.200514086
Cr_Ta,3.1788386,1.932628941,1.883563766,5.100378188,2.081456511,2.401868596
Cr_Re,-1.224222023,0.264629283,0.842370779,0.272528635,1.210364271,0.204428111
Cr_Os,-2.722821861,0.895084515,0.674804972,-0.359405831,1.516386564,0.540041108
Cr_Ir,0.361093283,1.229993078,1.629387496,2.293005587,1.4027804,1.353185166
Cr_Pt,3.115817175,1.796088033,2.107549104,3.498499212,2.159081334,2.239789902
Cr_Au,11.44734096,2.896757247,3.182865801,11.34817605,4.080535125,4.280153242
Mn_Fe,0.799013185,0.976877717,0.714837383,0.821590699,0.252667824,1.467711825
Mn_Co,3.471653679,1.109268151,1.386252628,2.435221766,1.7601561,2.361742142
Mn_Cu,10.96413897,2.985400671,3.203012132,12.68241042,4.358603292,4.433031463
Mn_Y,22.06255197,4.217638488,4.58137166,25.53955176,5.867373888,6.357172701
Mn_Zr,5.206169034,2.25117025,2.388838774,8.413133217,2.982764644,3.248277209
