Sample,Z_1,Z_2,Z_,Z+,Nmen_1,Nmen_2,Nmen_,Nmen+,X_1,X_2,X_,X+,I1_1,I1_2,I1_1_,I1_1+,ε_1,ε_2,ε_,ε+,dband_1,dband_2,dband_,dband+,HOMO_1,HOMO_2,HOMO_,HOMO+,LUMO_1,LUMO_2,LUMO_,LUMO+,R_1,R_2,R_,R+,Rp_1,Rp_2,Rp_,Rp+,Rv_1,Rv_2,Rv_,Rv+,r
Ru_Hf,44,72,14,58,56,45,5.5,50.5,2.2,1.3,0.45,1.75,7.36,6.83,0.265,7.095,1.05,0,0.525,0.525,0.47,3.47,1.5,1.97,-3.6,-2.69,0.455,-3.145,1.11,-0.48,0.795,0.315,1.78,2.08,0.15,1.93,1.55,1.73,0.09,1.64,0.65,0.9,0.125,0.775,2.96 
Ni_Zr,28,40,6,34,61,44,8.5,52.5,1.91,1.33,0.29,1.62,7.64,6.63,0.505,7.135,1.16,0.43,0.365,0.795,0.12,2.68,1.28,1.4,-4.39,-3.6,0.395,-3.995,0.51,-0.53,0.52,-0.01,1.49,2.06,0.285,1.775,1.57,1.76,0.095,1.665,0.34,0.84,0.25,0.59,1.92 
Pt_Y,78,39,19.5,58.5,63,12,25.5,37.5,2.28,1.22,0.53,1.75,9.02,6.22,1.4,7.62,2.13,0.31,0.91,1.22,-1.23,1.27,1.25,0.02,-5.31,-2.52,1.395,-3.915,0.82,-0.99,0.905,-0.085,1.77,2.12,0.175,1.945,1.47,1.95,0.24,1.71,0.67,0.94,0.135,0.805,1.49 
Pd_Os,46,76,15,61,62,57,2.5,59.5,2.2,2.2,0,2.2,8.34,8.71,0.185,8.525,0.56,1.1,0.27,0.83,-0.68,-0.3,0.19,-0.49,-4.12,-6.01,0.945,-5.065,-3.43,-0.07,1.68,-1.75,1.69,1.85,0.08,1.77,1.46,1.51,0.025,1.485,0.58,0.72,0.07,0.65,2.43 
Fe_Ti,26,22,2,24,55,43,6,49,1.83,1.54,0.145,1.685,7.9,6.83,0.535,7.365,0.16,0.08,0.04,0.12,1.44,2.79,0.675,2.115,-4.42,-4.25,0.085,-4.335,-0.53,-0.17,0.18,-0.35,1.56,1.76,0.1,1.66,1.71,1.54,0.085,1.625,0.38,0.52,0.07,0.45,3.28 
Fe_W,26,74,24,50,55,51,2,53,1.83,2.36,0.265,2.095,7.9,7.98,0.04,7.94,0.16,0.82,0.33,0.49,1.44,1.69,0.125,1.565,-4.42,-4.49,0.035,-4.455,-0.53,-0.37,0.08,-0.45,1.56,1.93,0.185,1.745,1.71,1.61,0.05,1.66,0.38,0.79,0.205,0.585,3.43 
Ag_Nb,47,41,3,44,65,47,9,56,1.93,1.6,0.165,1.765,7.58,6.76,0.41,7.17,1.3,0.89,0.205,1.095,-3.39,3.59,3.49,0.1,-4.4,-4.62,0.11,-4.51,0.97,-0.73,0.85,0.12,1.65,1.98,0.165,1.815,1.42,1.73,0.155,1.575,1.32,0.77,0.275,1.045,2.26 
Ta_Zr,73,40,16.5,56.5,48,44,2,46,1.5,1.33,0.085,1.415,7.89,6.63,0.63,7.26,0.32,0.43,0.055,0.375,3.22,2.68,0.27,2.95,-3.6,-3.6,0,-3.6,-0.44,-0.53,0.045,-0.485,2,2.06,0.03,2.03,1.66,1.76,0.05,1.71,0.84,0.84,0,0.84,2.36 
Rh_Mo,45,42,1.5,43.5,59,50,4.5,54.5,2.28,2.16,0.06,2.22,7.46,7.09,0.185,7.275,1.14,0.75,0.195,0.945,-1.9,1.54,1.72,-0.18,-3.5,-4.32,0.41,-3.91,-3.32,-0.13,1.595,-1.725,1.73,1.9,0.085,1.815,1.5,1.66,0.08,1.58,0.61,0.73,0.06,0.67,3.24 
Au_Ag,79,47,16,63,66,65,0.5,65.5,2.54,1.93,0.305,2.235,9.23,7.58,0.825,8.405,2.31,1.3,0.505,1.805,-2.82,-3.39,0.285,-3.105,-5.75,-4.4,0.675,-5.075,0.7,0.97,0.135,0.835,1.74,1.65,0.045,1.695,1.44,1.42,0.01,1.43,1.23,1.32,0.045,1.275,1.37 
